forage,price,profession,spring,summer,fall,winter,backwoods,beach,bus stop,bushes,cindersnap forest,desert,farm cave,forest farm,ginger island,mines,mountain,pelican town,railroad,secret woods,soil,trees
Sap,2,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wild Horseradish,50,,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Juice (Wild Horseradish),112,Artisan,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Pickled (Wild Horseradish),150,Artisan,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Daffodil,30,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Leek,60,,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
Juice (Leek),135,Artisan,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
Pickled (Leek),170,Artisan,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
Dandelion,40,,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
Juice (Dandelion),90,Artisan,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
Pickled (Dandelion),130,Artisan,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
Spring Onion,8,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Juice (Spring Onion),18,Artisan,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pickled (Spring Onion),66,Artisan,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Morel,150,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Pickled (Morel),350,Artisan,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Common Mushroom,40,,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Pickled (Common Mushroom),130,Artisan,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Salmonberry,5,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Wine (Salmonberry),15,Artisan,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Jelly (Salmonberry),60,Artisan,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Grape,80,,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
Wine (Grape),240,Artisan,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
Jelly (Grape),210,Artisan,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
Spice Berry,80,,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0
Wine (Spice Berry),240,Artisan,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0
