Crop,Seed Price,Sell Price,Yield,Grow Time,Regrow Time,Harvests,Spring,Summer,Fall,Winter,Greenhouse,Year2
Apricot,2000,50,3,1,1,28,1,0,0,0,1,0
Blue Jazz,30,50,1,7,0,4,1,0,0,0,1,0
Carrot,,35,1,3,0,9,1,0,0,0,1,0
Cauliflower,80,175,1,12,0,2,1,0,0,0,1,0
Cherry,3400,80,1,1,1,28,1,0,0,0,1,0
Coffee Bean,2500,15,4,10,2,10,1,1,0,0,1,0
Garlic,40,60,1,4,0,7,1,0,0,0,1,1
Green Bean,60,40,1,10,3,7,1,0,0,0,1,0
Kale,70,110,1,6,0,4,1,0,0,0,1,0
Parsnip,20,35,1,4,0,7,1,0,0,0,1,0
Potato,50,80,1,6,0,4,1,0,0,0,1,0
Rhubarb,100,220,1,13,0,2,1,0,0,0,1,0
Strawberry,100,120,1,8,4,6,1,0,0,0,1,0
Tea Leaves,,50,1,20,1,9,1,1,1,0,1,0
Tulip,20,30,1,6,0,4,1,0,0,0,1,0
Unmilled Rice,40,30,1,6,0,4,1,0,0,0,1,0
Banana,,150,1,1,1,28,0,1,0,0,1,0
Blueberry,80,50,3,13,4,4,0,1,0,0,1,0
Corn,150,50,1,14,4,4,0,1,1,0,1,0
Hops,60,25,1,11,1,18,0,1,0,0,1,0
Hot Pepper,40,40,1,5,3,8,0,1,0,0,1,0
Mango,,130,1,1,1,28,0,1,0,0,1,0
Melon,80,250,1,12,0,2,0,1,0,0,1,0
Orange,4000,100,1,1,1,28,0,1,0,0,1,0
Peach,6000,140,1,1,1,28,0,1,0,0,1,0
Pineapple,,300,1,14,7,3,0,1,0,0,1,0
Poppy,100,140,1,7,0,4,0,1,0,0,1,0
Radish,40,90,1,6,0,4,0,1,0,0,1,0
Red Cabbage,100,260,1,9,0,3,0,1,0,0,1,1
Starfruit,400,750,1,13,0,2,0,1,0,0,1,0
Summer Spangle,50,90,1,8,0,3,0,1,0,0,1,0
Summer Squash,,45,1,6,3,8,0,1,0,0,1,0
Sunflower,200,80,1,8,0,3,0,1,1,0,1,0
Taro,,100,1,7,0,4,0,1,0,0,1,0
Tomato,50,60,1,11,4,5,0,1,0,0,1,0
Wheat,10,25,1,4,0,7,0,1,1,0,1,0
Amaranth,70,150,1,7,0,4,0,0,1,0,1,0
Apple,4000,100,1,1,1,28,0,0,1,0,1,0
Artichoke,30,160,1,8,0,3,0,0,1,0,1,1
Beet,20,100,1,6,0,4,0,0,1,0,1,0
Bok Choy,50,80,1,4,0,7,0,0,1,0,1,0
Broccoli,,70,1,8,4,6,0,0,1,0,1,0
Cranberries,240,75,2,7,5,5,0,0,1,0,1,0
Eggplant,20,60,1,5,5,5,0,0,1,0,1,0
Fairy Rose,200,290,1,12,0,2,0,0,1,0,1,0
Pumpkin,100,320,1,13,0,2,0,0,1,0,1,0
Grape,60,80,1,10,3,7,0,0,1,0,1,0
Pomegranate,6000,140,1,1,1,28,0,0,1,0,1,0
Sweet Gem Berry,1000,3000,1,24,0,1,0,0,1,0,1,0
Yam,60,160,1,10,0,2,0,0,1,0,1,0
Powdermelon,,60,1,7,0,4,0,0,0,1,1,0
Ancient Fruit,,550,1,28,7,1,1,1,1,0,1,0
Cactus Fruit,150,75,1,12,3,6,0,0,0,0,1,0
